geoid10,downMean,upMean,downStdDev,upStdDev,tests,income,lon,lat
060490002002500,9.6239910715,8.678725,2.695848047,1.692052891,8,36950,41.214489,-121.1448053
060490002002677,3.2104376390000002,0.223836800575,2.3822026553499995,0.3558180549,8,36950,41.1971738,-120.9436274
060490003001497,4.494218797,0.42799896849999997,2.12008783075,0.43132095480000004,8,45282,41.5429313,-121.0554542
060490003001585,10.198475,3.3070250000000003,2.9937556274999997,0.8271543071,8,45282,41.4835165,-121.1539549
060490003001728,9.8481475595,3.696925,3.4854745765,0.93183967955,8,45282,41.5015543,-120.7550323
060490003002202,0.6300754098,0.46777272729999997,0.25773582019999997,0.35967116379999997,8,39883,41.7368068,-120.3854579
060490003002253,10.45315,2.3961125,3.8341768015,0.57634495815,8,39883,41.9830533,-120.3151386
060490003003002,19.032981555,6.747856250000001,5.55504206275,1.099295848725,8,46521,41.5319259,-120.3228754
060490003003055,22.46719375,9.1827375,6.3146309145,1.93363241655,8,46521,41.5117634,-120.4831582
060490003003086,16.72397,9.40019375,4.431412695,1.847788016675,8,46521,41.4776544,-120.5244037
060490003003129,15.321862499999998,6.90975,2.759187604,1.1064943455,8,46521,41.4210946,-120.6413392
060490003003130,8.657033981333333,3.726650396666667,2.394152570333333,0.8953585403000001,8,46521,41.4141597,-120.6623574
060490003003149,10.576015,6.958137499999999,2.404613127,1.0134802598000001,8,46521,41.4210532,-120.705076
060490003003185,7.949941521999999,4.108542857133332,2.9933674949999998,1.3401682571333333,8,46521,41.3964911,-120.7258194
060490003003245,0.03907803468,0.1415,0.05204297005,0.20407006670000002,8,46521,41.2964277,-120.8501681
060490003003341,11.343017636,6.946597675125001,4.019311618,2.3529594913749996,8,46521,41.2269471,-120.5048047
060490003003882,21.441541305,13.278300000000002,7.476512995,3.9371809075,8,46521,41.3716952,-120.490022
060490003003894,16.651075000000002,5.260491666666667,4.696763439333334,1.2110515594666666,8,46521,41.3328927,-120.5120461
060490004001080,25.800974999999998,3.534125,7.389025469,0.8353749213999999,8,29167,41.8593802,-120.1586553
060490004002023,0.0858192,0.1539565217,0.062499554809999996,0.20550086809999998,8,28095,41.3730343,-120.0542925
060490004002088,29.1672375,7.82995,13.259136269999999,1.8497541219999998,8,28095,41.5187495,-120.1875174
060490004002095,29.35480655,6.3092875,14.61416628,1.1903341040000002,8,28095,41.5256581,-120.1806334
060490004002107,31.72834177,6.427725,15.097727975,0.4314936857,8,28095,41.5268555,-120.1727453
060490004002113,14.631201579999999,1.0350000000000001,5.912590788499999,0.52707862155,8,28095,41.418744,-120.1156507
